,time,open,high,low,close,tick_volume,spread,real_volume
0,1744136100,1.08989,1.09161,1.08959,1.09114,1543,8,0
1,1744137000,1.09112,1.09188,1.09058,1.09078,1677,8,0
2,1744137900,1.09078,1.09189,1.09077,1.0911,1488,8,0
3,1744138800,1.09112,1.09114,1.08982,1.09067,1621,8,0
4,1744139700,1.09068,1.09119,1.09045,1.09119,1380,8,0
5,1744140600,1.09119,1.09222,1.09093,1.09207,1782,8,0
6,1744141500,1.09206,1.0931899999999999,1.09205,1.09291,1813,8,0
7,1744142400,1.0929,1.09482,1.09269,1.09428,1841,8,0
8,1744143300,1.09424,1.0943100000000001,1.0935,1.09416,1804,8,0
9,1744144200,1.09411,1.09448,1.09256,1.09327,1845,8,0
10,1744145100,1.09327,1.09417,1.09278,1.09333,1831,8,0
11,1744146000,1.09332,1.09483,1.09293,1.09471,1615,8,0
12,1744146900,1.09472,1.0957,1.09471,1.09555,1369,8,0
13,1744147800,1.09556,1.09687,1.0951,1.09547,1656,8,0
14,1744148700,1.09546,1.09548,1.09451,1.09517,1531,8,0
15,1744149600,1.09514,1.09728,1.09507,1.0972,1499,8,0
16,1744150500,1.09723,1.09774,1.09659,1.09681,1587,8,0
17,1744151400,1.09679,1.09702,1.09582,1.09583,1536,8,0
18,1744152300,1.09583,1.09592,1.09504,1.09534,1642,8,0
19,1744153200,1.09535,1.09569,1.09529,1.09554,123,8,0
