,time,open,high,low,close,tick_volume,spread,real_volume
0,1744398000,0.81531,0.81585,0.81454,0.81553,1418,19,0
1,1744398900,0.81554,0.81832,0.81549,0.8177,1601,19,0
2,1744399800,0.81771,0.81863,0.81758,0.81796,1177,19,0
3,1744400700,0.81797,0.81813,0.81691,0.81706,1122,19,0
4,1744401600,0.81708,0.81723,0.8154,0.81555,1145,19,0
5,1744402500,0.81556,0.81636,0.81534,0.81574,920,19,0
6,1744403400,0.81574,0.81652,0.81508,0.81627,1494,19,0
7,1744404300,0.81627,0.81925,0.81618,0.81884,1553,19,0
8,1744405200,0.81884,0.81897,0.81753,0.81818,1367,19,0
9,1744406100,0.81818,0.81837,0.81697,0.81737,1235,19,0
10,1744407000,0.81738,0.81774,0.81656,0.8168,1205,19,0
11,1744407900,0.81686,0.81717,0.81627,0.81688,1062,19,0
12,1744408800,0.81687,0.81748,0.81639,0.81714,842,19,0
13,1744409700,0.8172,0.81736,0.81617,0.81626,746,19,0
14,1744410600,0.81627,0.81687,0.81621,0.81645,687,19,0
15,1744411500,0.81645,0.8167,0.81544,0.81557,847,19,0
16,1744412400,0.81555,0.81599,0.81467,0.8147,592,19,0
17,1744413300,0.81478,0.81495,0.81464,0.81477,443,19,0
18,1744414200,0.81477,0.81527,0.81451,0.81486,524,19,0
19,1744415100,0.81486,0.81599,0.81375,0.81379,769,26,0
